,importance
oldest_account_age_months,0.9535687306169583
num_hard_inquiries_last_6mo,0.636075768426407
payment_history_score,0.5029424426095233
risk_composite_score,0.4751486836050581
num_late_payments_last_2yr,0.44407350970467135
credit_utilization_ratio,0.33520858802309345
credit_experience_score,0.2883178292854359
debt_to_income_ratio,0.26272894116506024
employment_length_years,0.25145819751204834
monthly_debt_to_income,0.1684067631232405
total_credit_limit,0.1385236487135519
loan_to_income_ratio,0.12874730903081516
flag_high_dti,0.09727788879388975
monthly_debt_payments,0.09491225461717887
flag_high_utilization,0.07594925927558613
annual_income,0.0733785909983146
flag_multiple_late_payments,0.05618742342162168
flag_excessive_inquiries,0.04736188040512049
has_auto_loan,0.03551801416940466
age,0.02401848081203572
credit_limit_to_income,0.016841405162051452
has_mortgage,0.010378272154306622
loan_amount_requested,0.006002100575816011
num_open_accounts,0.0010500662062628615
