,importance
risk_composite_score,0.1498856628999676
credit_experience_score,0.12511148858511936
payment_history_score,0.10762753823127122
oldest_account_age_months,0.09759834629891911
num_late_payments_last_2yr,0.057382064403491945
age,0.05334130117220367
credit_utilization_ratio,0.04166482654051073
debt_to_income_ratio,0.04099242021761565
monthly_debt_to_income,0.03790344708652889
num_hard_inquiries_last_6mo,0.03588896367284377
employment_length_years,0.03245805093188986
monthly_debt_payments,0.028314542790289544
loan_to_income_ratio,0.027987729917724836
total_credit_limit,0.027877835484220233
credit_limit_to_income,0.027857487207551525
annual_income,0.02486309258669749
loan_amount_requested,0.023826416566633746
num_open_accounts,0.01902660081947425
flag_multiple_late_payments,0.01700244231469796
flag_excessive_inquiries,0.010897708361556672
flag_high_dti,0.003759543478445666
has_auto_loan,0.003260694535611984
has_mortgage,0.0031941857584926675
flag_high_utilization,0.0022776101382416462
